,Country,City,Code,Name,Airport
111,Hawaii,Honolulu,HNL,International,"Hawaii, Honolulu, International"
112,Holanda,Amsterdam,AMS,Schiphol Int.,"Holanda, Amsterdam, Schiphol Int."
113,Holanda,Rotterdam,RTM,Rotterdam,"Holanda, Rotterdam, Rotterdam"
114,Honduras,Tegucigalpa,TGU,Toncontin,"Honduras, Tegucigalpa, Toncontin"
115,Hong Kong,Hong Kong,HKG,International,"Hong Kong, Hong Kong, International"
116,Hungría,Budapest,BUD,Ferihegy,"Hungría, Budapest, Ferihegy"
117,India,Calcuta,CCU,Netaji Subhas,"India, Calcuta, Netaji Subhas"
118,India,Nueva Delhi,DEL,Indira Gandhi Int.,"India, Nueva Delhi, Indira Gandhi Int."
119,India,Mumbay,BOM,Bombay,"India, Mumbay, Bombay"
120,Indonesia,Jakarta,CGK,Soekarno-Hatta Int.,"Indonesia, Jakarta, Soekarno-Hatta Int."
121,Indonesia,Jakarta,HLP,Halim Perdana Kusama,"Indonesia, Jakarta, Halim Perdana Kusama"
122,Inglaterra,Belfast,BFS,Belfast Int.,"Inglaterra, Belfast, Belfast Int."
123,Inglaterra,Belfast,BHD,Belfast City,"Inglaterra, Belfast, Belfast City"
124,Inglaterra,Londres,LHR,Heathrow,"Inglaterra, Londres, Heathrow"
125,Inglaterra,Londres,LGW,Gatwick,"Inglaterra, Londres, Gatwick"
126,Inglaterra,Londres,STN,Stansted,"Inglaterra, Londres, Stansted"
127,Inglaterra,Londres,LTN,Luton Int.,"Inglaterra, Londres, Luton Int."
128,Inglaterra,Londres,LCY,London City Airport,"Inglaterra, Londres, London City Airport"
129,Irán,Teherán,THR,Mehrabad,"Irán, Teherán, Mehrabad"
130,Irlanda,Shannon,SNN,Shannon,"Irlanda, Shannon, Shannon"
131,Israel,Tel Aviv,TLV,Ben Gurion,"Israel, Tel Aviv, Ben Gurion"
132,Italia,Bari,BRI,Palese,"Italia, Bari, Palese"
133,Italia,Génova,GOA,C. Colombo,"Italia, Génova, C. Colombo"
134,Italia,Milán,LIN,Linate,"Italia, Milán, Linate"
135,Italia,Milán,MXP,Malpensa,"Italia, Milán, Malpensa"
136,Italia,Nápoles,NAP,Nápoles Int.,"Italia, Nápoles, Nápoles Int."
137,Italia,Roma,FCO,Fiumicino,"Italia, Roma, Fiumicino"
138,Jamaica,Kingston,KIN,Norman Manley,"Jamaica, Kingston, Norman Manley"
139,Jamaica,Kingston,KTP,Tinson,"Jamaica, Kingston, Tinson"
140,Japón,Nagoya,NGO,Komaki,"Japón, Nagoya, Komaki"
141,Japón,Osaka,KIX,Kansai Int.,"Japón, Osaka, Kansai Int."
142,Japón,Tokio,HND,Haneda,"Japón, Tokio, Haneda"
143,Japón,Tokio,NRT,Narita,"Japón, Tokio, Narita"
144,Kenya,Nairobi,NBO,Kenyatta,"Kenya, Nairobi, Kenyatta"
145,Kenya,Nairobi,WIL,Wilson,"Kenya, Nairobi, Wilson"
146,Líbano,Beirut,BEY,International,"Líbano, Beirut, International"
147,Malasia,Kuala Lumpur,KUL,International,"Malasia, Kuala Lumpur, International"
148,Malta,Malta,MLA,Luqa,"Malta, Malta, Luqa"
149,Marruecos,Casablanca,CMN,Mohammed V,"Marruecos, Casablanca, Mohammed V"
150,Marruecos,Rabat,RBA,Sale,"Marruecos, Rabat, Sale"
151,México,Acapulco,ACA,Int. Gral. Juan Alvarez,"México, Acapulco, Int. Gral. Juan Alvarez"
152,México,Cancún,CUN,Cancún,"México, Cancún, Cancún"
153,México,Mérida,MID,Manuel Rejon,"México, Mérida, Manuel Rejon"
154,México,México,MEX,Benito Juárez,"México, México, Benito Juárez"
155,Myanmar,Yangon,RGN,Yangon Int.,"Myanmar, Yangon, Yangon Int."
156,Nicaragua,Managua,MGA,Int. Augusto Sandino,"Nicaragua, Managua, Int. Augusto Sandino"
157,Nigeria,Lagos,L0S,Murtala Muhammed,"Nigeria, Lagos, Murtala Muhammed"
158,Noruega,Bergen,BGO,Flesland,"Noruega, Bergen, Flesland"
159,Noruega,Oslo,FBU,Fornebu,"Noruega, Oslo, Fornebu"
160,Noruega,Oslo,GEN,Gardermoen,"Noruega, Oslo, Gardermoen"
161,Nva. Zelanda,Auckland,AKL,International,"Nva. Zelanda, Auckland, International"
162,Pakistán,Karachi,KHI,Quaid - E - Azam,"Pakistán, Karachi, Quaid - E - Azam"
163,Panamá,Panamá,PTY,Tocumen Intl.,"Panamá, Panamá, Tocumen Intl."
164,Paraguay,Asunción,ASU,Silvio Pettirossi,"Paraguay, Asunción, Silvio Pettirossi"
165,Perú,Iquitos,IQT,Fco. Secada,"Perú, Iquitos, Fco. Secada"
166,Perú,Lima,LIM,Jorge Chavez Int.,"Perú, Lima, Jorge Chavez Int."
167,Perú,Piura,PIU,Piura,"Perú, Piura, Piura"
168,Polinesia Fr.,Papete,PPT,Faaa,"Polinesia Fr., Papete, Faaa"
169,Polonia,Varsovia,WAW,Okecie,"Polonia, Varsovia, Okecie"
170,Portugal,Lisboa,LIS,Lisboa,"Portugal, Lisboa, Lisboa"
171,Portugal,Oporto,OPO,Porto,"Portugal, Oporto, Porto"
172,Puerto Rico,San Juan,SJU,L. Muñóz Marín Int.,"Puerto Rico, San Juan, L. Muñóz Marín Int."
173,Puerto Rico,San Juan,SIG,Isla Grande,"Puerto Rico, San Juan, Isla Grande"
174,Rep. Checa,Praga,PRG,Ruzyne,"Rep. Checa, Praga, Ruzyne"
175,Rep. Dominicana,Sto. Domingo,SDQ,Las Américas,"Rep. Dominicana, Sto. Domingo, Las Américas"
176,Rumania,Bucarest,BBU,Baneasa,"Rumania, Bucarest, Baneasa"
177,Rumania,Bucarest,OTP,Otopeni,"Rumania, Bucarest, Otopeni"
178,Senegal,Dakar,DKR,Yoff,"Senegal, Dakar, Yoff"
179,Singapur,Singapur,SIN,Changi,"Singapur, Singapur, Changi"
180,Sudáfrica,Ciudad del Cabo,CPT,Capetown Int.,"Sudáfrica, Ciudad del Cabo, Capetown Int."
181,Sudáfrica,Johannesburgo,JNB,Johannesburg Int.,"Sudáfrica, Johannesburgo, Johannesburg Int."
182,Suecia,Estocolmo,ARN,Arlanda,"Suecia, Estocolmo, Arlanda"
183,Suecia,Estocolmo,BMA,Bromma,"Suecia, Estocolmo, Bromma"
184,Suiza,Basilea,BSL,Basel,"Suiza, Basilea, Basel"
185,Suiza,Ginebra,GVA,Geneva/Cointrin,"Suiza, Ginebra, Geneva/Cointrin"
186,Suiza,Zurich,ZRH,Zurich,"Suiza, Zurich, Zurich"
187,Surinam,Paramaribo,PMB,Zanderij,"Surinam, Paramaribo, Zanderij"
188,Taiwan,Taipei,TPE,Chiang Kai Shek Int.,"Taiwan, Taipei, Chiang Kai Shek Int."
189,Tailandia,Bangkok,BKK,International,"Tailandia, Bangkok, International"
190,Trinidad,Puerto España,POS,Piarco,"Trinidad, Puerto España, Piarco"
191,Turquía,Estambul,IST,Ataturk,"Turquía, Estambul, Ataturk"
192,Ucrania,Kiev,KBP,Borispol,"Ucrania, Kiev, Borispol"
193,Ucrania,Kiev,IEV,Zhulhany,"Ucrania, Kiev, Zhulhany"
